,LINK ID,ITS LINK ID,도로등급,연장(km),도로명,권역,혼잡빈도강도,혼잡시간강도,혼잡기대강도
35,1057052,0,시군도,0.629,청대로,강원도  속초시,24.5,53.0,72.5
36,1057053,0,시군도,0.629,청대로,강원도  속초시,19.5,44.5,71.5
37,1057054,2550114800,시군도,0.22,온천로,강원도  속초시,42.0,67.5,69.5
38,1057055,2550114700,시군도,0.258,온천로,강원도  속초시,39.0,58.0,65.0
39,1057056,"255,000,770,025,500,000,000,000,000,000",국가지원지방도,2.969,미시령로,강원도  속초시,22.0,32.0,42.0
40,1057056,"2550007700,2550008502,2550011800",국가지원지방도,2.969,미시령로,강원도  속초시,23.0,32.0,40.0
41,1057057,"255,000,780,025,500,000,000,000,000,000",국가지원지방도,2.969,미시령로,강원도  속초시,28.0,39.0,38.0
42,1057057,"2550007800,2550008602,2550011700",국가지원지방도,2.969,미시령로,강원도  속초시,28.0,40.0,39.0
43,1057058,0,국가지원지방도,0.023,동해대로,강원도  속초시,99.0,100.0,61.0
44,1057059,0,시군도,0.08,중앙로,강원도  고성군,1.0,4.0,76.5
45,1057060,0,시군도,0.074,동해대로,강원도  고성군,42.5,52.0,38.0
46,1057061,"2,550,011,200,266,000,000,000,000,000,000,000,000,000",일반국도,3.471,동해대로,강원도  고성군,53.0,60.0,29.0
47,1057061,"2550011200,2660001000,2660001200,2660001400",일반국도,3.471,동해대로,강원도  고성군,53.0,60.0,30.0
48,1057062,"2,550,011,100,266,000,000,000,000,000,000,000,000,000",일반국도,3.471,동해대로,강원도  고성군,43.0,51.0,31.0
49,1057062,"2550011100,2660000900,2660001100,2660001300",일반국도,3.471,동해대로,강원도  고성군,42.0,48.0,31.0
50,1057063,0,시군도,0.195,중앙로,강원도  고성군,3.5,6.0,46.5
51,1057064,2660001300,일반국도,0.02,동해대로,강원도  고성군,69.5,73.5,22.0
52,1057065,2660001400,일반국도,0.02,동해대로,강원도  고성군,46.5,55.5,35.5
53,1057066,2660001600,일반국도,0.175,동해대로,강원도  고성군,78.0,84.0,30.0
54,1057067,2660001500,일반국도,0.175,동해대로,강원도  고성군,82.0,88.0,36.0
55,1057068,0,국가지원지방도,0.205,동해대로,강원도  속초시,78.0,88.0,42.5
56,1057069,2550011200,일반국도,0.397,동해대로,강원도  속초시,95.5,97.5,42.0
57,1057070,2550011100,일반국도,0.397,동해대로,강원도  속초시,90.0,92.5,28.0
58,1057071,0,시군도,0.571,동해대로,강원도  고성군,3.0,9.5,75.0
59,1057072,0,시군도,0.06,동해대로,강원도  고성군,80.0,87.0,38.5
60,1057073,0,시군도,0.051,동해대로,강원도  고성군,1.5,6.0,68.5
61,1057074,0,시군도,0.021,중앙로,강원도  고성군,12.5,23.0,52.0
62,1057075,0,시군도,0.193,동해대로,강원도  고성군,1.5,8.0,70.0
63,1057076,"255,000,140,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,0.812,동해대로,강원도  속초시,100.0,100.0,54.0
64,1057076,"2550001400,2550001600,2550002600,2550004200,2550004400,2550004600",일반국도,0.812,동해대로,강원도  속초시,100.0,100.0,50.0
65,1057077,2550001100,일반국도,0.32,동해대로,강원도  속초시,99.0,100.0,54.0
66,1057078,0,국가지원지방도,0.031,동해대로,강원도  속초시,100.0,100.0,100.0
67,1057079,0,국가지원지방도,0.028,동해대로,강원도  속초시,100.0,100.0,100.0
68,1057080,0,국가지원지방도,0.204,동해대로,강원도  속초시,83.0,87.0,27.5
69,1057081,0,시군도,0.039,동해대로,강원도  고성군,83.5,90.0,45.5
70,1057082,0,시군도,0.081,중앙로,강원도  고성군,1.0,3.0,61.0
71,1057083,"25,501,135,002,550,100,000",시군도,2.799,온천로,강원도  속초시,5.0,19.0,77.0
72,1057083,"2550113500,2550113900",시군도,2.799,온천로,강원도  속초시,5.0,16.0,75.0
73,1057084,2550113300,시군도,1.686,관광로,강원도  속초시,8.0,26.0,75.5
74,1057085,0,국가지원지방도,0.144,동해대로,강원도  속초시,96.0,99.0,60.5
75,1057086,"25,500,068,002,550,000,000",일반국도,0.337,동해대로,강원도  속초시,100.0,100.0,73.0
76,1057086,"2550006800,2550007000",일반국도,0.337,동해대로,강원도  속초시,100.0,100.0,71.0
77,1057087,2550006500,일반국도,0.17,동해대로,강원도  속초시,100.0,100.0,100.0
78,1057088,2660001500,일반국도,0.638,동해대로,강원도  고성군,52.5,57.5,24.5
79,1057089,2660001600,일반국도,0.638,동해대로,강원도  고성군,46.5,52.5,27.5
80,1057090,0,시군도,0.375,동해대로,강원도  고성군,5.5,8.0,70.0
81,1057091,0,국가지원지방도,0.135,동해대로,강원도  속초시,95.0,98.0,48.5
82,1057092,0,국가지원지방도,0.025,동해대로,강원도  속초시,80.5,97.0,56.5
83,1057093,0,국가지원지방도,0.036,동해대로,강원도  속초시,96.5,99.0,69.5
84,1057465,"26,600,123,002,660,000,000",시군도,0.972,진부령로,강원도  고성군,1.0,10.0,82.0
85,1057465,"2660012300,2660012501",시군도,0.972,진부령로,강원도  고성군,1.0,6.0,79.0
86,1057466,"26,600,124,002,660,000,000",시군도,0.972,진부령로,강원도  고성군,1.0,5.0,76.0
87,1057466,"2660012400,2660012601",시군도,0.972,진부령로,강원도  고성군,1.0,6.0,80.0
88,1057467,"266,001,150,026,600,000,000,000,000,000",일반국도,0.461,간성로,강원도  고성군,99.0,99.0,42.0
89,1057467,"2660011500,2660011900,2660012100",일반국도,0.461,간성로,강원도  고성군,99.0,99.0,49.0
90,1057468,"266,001,160,026,600,000,000,000,000,000",일반국도,0.461,간성로,강원도  고성군,97.0,98.0,39.0
91,1057468,"2660011600,2660012000,2660012200",일반국도,0.461,간성로,강원도  고성군,96.0,97.0,37.0
92,1057469,2660122500,일반국도,0.714,동해대로,강원도  고성군,97.5,98.0,33.5
93,1057470,2660122300,일반국도,0.714,동해대로,강원도  고성군,99.0,99.5,36.0
94,1057471,"26,600,097,012,660,000,000,000,000,000,000,000,000,000,000,000,000",시군도,1.304,간성로,강원도  고성군,26.0,51.0,66.0
95,1057471,"2660009701,2660010000,2660010300,2660010700,2660011100",시군도,1.304,간성로,강원도  고성군,27.0,49.0,66.0
96,1057472,"26,600,098,022,660,000,000,000,000,000,000,000,000,000,000,000,000",시군도,1.304,간성로,강원도  고성군,28.0,51.0,66.0
97,1057472,"2660009802,2660009900,2660010400,2660010800,2660011200",시군도,1.304,간성로,강원도  고성군,25.0,45.0,66.0
98,1057473,2660124800,일반국도,0.198,동해대로,강원도  고성군,85.5,91.0,39.5
99,1057474,2660124700,일반국도,0.198,동해대로,강원도  고성군,97.5,98.5,52.5
100,1057475,2660009702,시군도,0.138,동해대로,강원도  고성군,5.5,12.5,57.0
101,1057476,2660009801,시군도,0.072,수성로,강원도  고성군,48.5,72.5,51.5
102,1057477,2660009702,시군도,0.072,수성로,강원도  고성군,11.0,28.5,58.5
103,1057478,2660124600,시군도,0.14,간성로,강원도  고성군,51.5,77.5,57.5
104,1057479,2660124500,시군도,0.14,간성로,강원도  고성군,29.0,44.0,46.0
105,1057480,2660123800,일반국도,0.699,동해대로,강원도  고성군,63.0,71.5,34.5
106,1057481,2660123700,일반국도,0.699,동해대로,강원도  고성군,86.5,91.5,46.5
107,1057482,2660122800,일반국도,0.101,동해대로,강원도  고성군,42.5,49.5,32.5
108,1057483,2660122900,일반국도,0.101,동해대로,강원도  고성군,72.5,85.0,35.5
109,1057484,2660012601,시군도,0.078,진부령로,강원도  고성군,57.0,79.0,65.5
110,1057485,2660122600,일반국도,0.147,동해대로,강원도  고성군,59.5,66.5,29.0
111,1057486,2660122400,일반국도,0.147,동해대로,강원도  고성군,43.5,51.0,32.5
112,1057487,2660122900,일반국도,0.592,동해대로,강원도  고성군,41.5,46.0,28.0
113,1057488,2660122800,일반국도,0.592,동해대로,강원도  고성군,36.5,43.5,32.5
114,1057489,0,시군도,0.418,진부령로,강원도  고성군,0.0,0.0,70.0
115,1057490,2660122800,일반국도,1.873,동해대로,강원도  고성군,35.0,43.0,34.5
116,1057491,2660122900,일반국도,1.873,동해대로,강원도  고성군,22.5,28.0,35.0
117,1057492,0,시군도,0.042,진부령로,강원도  고성군,0.0,0.0,0.0
118,1057493,0,시군도,0.118,진부령로,강원도  고성군,0.0,0.5,74.5
119,1057494,2660012501,시군도,1.183,진부령로,강원도  고성군,1.5,4.0,72.5
120,1057495,2660012601,시군도,1.183,진부령로,강원도  고성군,21.0,48.5,76.5
121,1057496,2660012601,시군도,0.113,진부령로,강원도  고성군,0.0,0.0,0.0
122,1057497,2660012501,시군도,0.113,진부령로,강원도  고성군,0.0,0.0,69.5
123,1057498,0,시군도,0.056,진부령로,강원도  고성군,97.5,98.5,33.5
124,1057499,0,시군도,0.227,동해대로,강원도  고성군,0.0,1.0,77.5
125,1072983,0,시군도,0.503,수복로,강원도  속초시,27.0,55.5,66.0
126,1072984,0,시군도,0.503,수복로,강원도  속초시,31.5,57.0,64.5
